start_station,end_station,occurrences
Galgeberg,Dyvekes bru,173
Alexander Kiellands Plass,Akersgata,173
Sjoesiden ved trappen,Olaf Ryes plass,173
Sofienbergparken nord,Skraaninga,173
Bjoervika,Bjoervika,172
Sukkerbiten,Salt,172
Grünerhagen Nord,Sofienberggata,172
Alexander Kiellands Plass,Bislettgata,172
Munkegata,Slottsparken Øst,172
Alexander Kiellands Plass,Kirkeristen,172
BI Nydalen,Marcus Thranes gate,172
Fram-gaarden,7. juni-plassen,172
Sjoesiden ved fontenen,Kvaernerbyen,171
Toeyen skole,Marcus Thranes gate,171
Akerselvallmenningen,Sukkerbiten,171
Aker Brygge,Ringnes Park,171
St. Olavs gate,Saga Kino,171
Soendre gate,Vaterlandsparken,171
Schous plass,Sjoesiden ved trappen,171
Chr. Michelsens Gate,Alexander Kiellands Plass,171
Hoffsveien,Skoeyen Stasjon,171
Sentrum Scene,Schous plass,170
Vaar Frelsers gravlund,Jernbanetorget,170
Sofienbergparken nordvest,Kirkeristen,170
Vaterlandsparken,Lakkegata,170
Jess Carlsens gate,Sjoesiden ved trappen,170
Jakob kirke,Sofienbergparken nord,170
Kvaernerbyen,Helga Helgesens plass,170
Vaar Frelsers gravlund,Kirkeristen,169
Vulkan,Helga Helgesens plass,169
Jess Carlsens gate,Torggata,169
Uranienborgveien,Tjuvholmen,169
Alexander Kiellands Plass,Bjoervika,169
Toeyen skole,Groenlands torg,169
Norsk Folkemuseum,Tjuvholmen,169
Hausmanns gate,Akersgata,169
Torggata,Sukkerbiten,168
Aker Brygge,Annette Thommessens Plass,168
Bislettgata,Professor Aschehougs plass,168
Bjoervika,Skovveien,168
Sentrum Scene,AHO,168
Alexander Kiellands Plass,Forskningsveien,168
Hausmanns bru,Helga Helgesens plass,168
Klingenberggata,Tjuvholmen,168
Ullevaal sykehus,Alexander Kiellands Plass,168
Botanisk Hage soer,Spikersuppa Øst,168
Sukkerbiten,Tjuvholmen,168
Sukkerbiten,Karenslyst allé,167
Schous plass,The Hub,167
Aker Brygge,Universitetsgata,167
Jess Carlsens gate,Sukkerbiten,167
Schous plass trikkestopp,Aker Brygge,167
Olaf Ryes plass,Bjoervika,167
Linaaes gate,Helga Helgesens plass,167
Elisenberg,Frogner Stadion,167
Sinsen T-bane,Hans Nielsen Hauges plass,167
Sjoesiden ved trappen,Soendre gate,167
Huk 1,Huk 1,167
Helga Helgesens plass,Annette Thommessens Plass,166
Vaar Frelsers gravlund,Jess Carlsens gate,166
Kirkeristen,Munkegata,166
Kirkeristen,Ringnes Park,166
Munkegata,Oslo Hospital,166
Helga Helgesens plass,Birkelunden,166
Botanisk hage soer-vest,Toeyenbekken,166
Torggata,Fagerheimgata,166
Toeyenbekken,Lakkegata,166
Grünerhagen Nord,Aker Brygge,166
Thomas Heftyes plass,Hallings gate,166
Ulven Torg,Ulven Torg,166
Bislettgata,Vaar Frelsers gravlund,166
Alexander Kiellands Plass,Daelenenggata,165
Helga Helgesens plass,Spikersuppa Vest,165
Studenterlunden,Studenterlunden,165
Fredensborg,The Hub,165
Sentrum Scene,Ringnes Park,165
Lakkegata,Akerselvallmenningen,165
Torggata,Sofienbergparken nordvest,165
Jakob kirke,Vulkan,165
Sentrum Scene,Sentrum Scene,165
Soendre gate,Helga Helgesens plass,165
Munkegata,Kvaernerbyen,165
Soendre gate,Toeyenbekken,165
Lilleborgbanen,Ringnes Park,165
Munkegata,Rostockgata,165
Mandalls gate,Mandalls gate,165
Uranienborgveien,Aker Brygge,165
Botanisk hage soer-vest,Helga Helgesens plass,164
Helga Helgesens plass,Sjoesiden ved trappen,164
Saga Kino,Filipstadveien,164
Aker Brygge,Sentrum Scene,164
Bjerregaards gate,Vaar Frelsers gravlund,164
Helga Helgesens plass,Bjoervika,164
Stavangergata,Stavangergata,164
Alexander Kiellands Plass,Bislett Stadion,164
Vulkan,Sukkerbiten,164
St. Hanshaugen park vest,Bislettgata,164
Olaf Ryes plass,Paléhaven,164
Bjerregaards gate,Torggata,164
Skraaninga,Aker Brygge,164
Hammersborg Torg,Linaaes gate,163
Lille Grensen,Jens Bjelkes Gate,163
Lille Grensen,Lille Grensen,163
Oslo Plaza,Munkegata,163
Oscars gate,Oscars gate,163
Grünerhagen Nord,Torggata,163
Storo Storsenter,Alexander Kiellands Plass,163
Skovveien,Tjuvholmen,162
Anker Hotel,The Hub,162
Sofienberggata,Toeyen skole,162
Akersgata,Bankplassen,162
Sommerfrydhagen,Schous plass,162
Birkelunden,The Hub,162
Fagerheimgata,Bankplassen,162
Aker Brygge,Akersgata,162
Aker Brygge,Edvard Storms gate,161
Oslo Hospital,Rostockgata,161
Sofienbergparken nord,Helga Helgesens plass,161
Schous plass trikkestopp,Helga Helgesens plass,161
Henrik Ibsens gate,7. juni-plassen,161
Toeyen skole,Birkelunden,161
Alexander Kiellands Plass,Paléhaven,161
Skillebekk,Frognerstranda,161
Ullevaal sykehus,Majorstuen,161
Ringnes Park,Bislettgata,161
Lindern,Griffenfeldts gate,161
Alexander Kiellands Plass,Sofienbergparken nordvest,161
Kjeld Stubs gate,Sjoesiden ved trappen,160
Spikersuppa Vest,Spikersuppa Vest,160
Bjoervika,Lakkegata,160
Schous plass trikkestopp,The Hub,160
Frognerbadet,Frognerbadet,160
Sommerfrydhagen,Annette Thommessens Plass,160
Majorstua skole,Karenslyst allé,160
Schous plass trikkestopp,Torggata,160
Moelleparken,Torggata,160
BI Nydalen,Bjoelsen Studentby,160
Edvard Storms gate,Fram-gaarden,159
Jakob kirke,Ringnes Park,159
Helga Helgesens plass,Jakob kirke,159
Bjoelsen Studentby,Bentsebrugata,159
Aker Brygge,AHO,159
Huitfeldts gate,Raadhusgata,159
Hausmanns bru,Bjoervika,159
Sukkerbiten,Olaf Ryes plass,159
Jarlsborgveien,Skoeyen Stasjon,159
Lille Grensen,Olaf Ryes plass,159
Vaar Frelsers gravlund,Sjoesiden ved fontenen,159
Sirkustomta,Toeyen skole,159
Norsk Folkemuseum,Skoeyen,158
Hammersborg Torg,Landstads gate,158
Elisenberg,Skovveien,158
Vippetangen vest,Skippergata,158
Akerselvallmenningen,Sjoesiden ved trappen,158
Sofienbergparken nord,Jakob kirke,158
Frogner plass,Elisenberg,158
Alexander Kiellands Plass,Bankplassen,158
Nordre gate,Helga Helgesens plass,158
Munkegata,Sukkerbiten,158
Jakob kirke,Aker Brygge,157
Linaaes gate,Schous plass,157
Lille Grensen,Jess Carlsens gate,157
Georg Morgenstiernes hus,Marcus Thranes gate,157
Dokkveien,Vippetangen vest,157
Bankplassen,Bankplassen,157
Vestkanttorvet,Vestkanttorvet,157
Torggata,Birkelunden,157
Aker Brygge,Kontraskjaeret,157
Ringnes Park,Birkelunden,157
Landstads gate,Linaaes gate,157
Henrik Ibsens gate,Saga Kino,157
Vaar Frelsers gravlund,Hammersborg Torg,157
Thomas Heftyes plass,7. juni-plassen,157
Ringnes Park,Daelenenggata,156
Storo Storsenter,BI Nydalen,156
Bjoervika,Skillebekk,156
Sommerfrydhagen,Olaf Ryes plass,156
Fagerheimgata,Ringnes Park,156
Bjoelsen Studentby,Ringnes Park,156
Tjuvholmen,Aker Brygge,156
Kirkeristen,Botanisk Hage soer,156
Huitfeldts gate,Skillebekk,156
Soendre gate,Jernbanetorget,156
St. Olavs gate,Tjuvholmen,156
Bislettgata,Aker Brygge,156
Toeyenbekken,Jess Carlsens gate,156
Loerenveien,Storo Storsenter,156
Georg Morgenstiernes hus,Georg Morgenstiernes hus,155
Hammersborg Torg,Bankplassen,155
Sukkerbiten,Kontraskjaeret,155
Sotahjoernet,Ensjoe T-bane,155
Huk 2,Norsk Folkemuseum,155
Storo Storsenter,Myraloekka Øst,155
Arkitekt Rivertz Plass,Chr. Michelsens Gate,155
Frogner Stadion,Skoeyen,155
Oslo Plaza,Soendre gate,155
Moelleparken,Toeyen skole,155
Bislett Stadion,Akersgata,155
Jernbanetorget,Jens Bjelkes Gate,154
Colosseum Kino,Skoeyen,154
Trondheimsveien,Sofienbergparken nordvest,154
Jess Carlsens gate,Botanisk Hage soer,154
Dyvekes bru,Paléhaven,154
Linaaes gate,Linaaes gate,154
Sukkerbiten,Helga Helgesens plass,154
Helga Helgesens plass,Soendre gate,154
Oslo Hospital,Aker Brygge,154
Bislettgata,Bislett Stadion,154
Majorstua skole,Drammensveien,154
Vaar Frelsers gravlund,Olaf Ryes plass,154
Storo Storsenter,Jenny Braatens Plass,153
Colosseum Kino,Frogner plass,153
Munkegata,Kirkeristen,153
Birkelunden,Jakob kirke,153
Helga Helgesens plass,Kjeld Stubs gate,153
Fagerheimgata,Alexander Kiellands Plass,153
Colosseum Kino,Hoffsveien,153
Olaf Ryes plass,Sjoesiden ved fontenen,153
Henrik Wergelands allé,Elisenberg,153
Sofienberggata,Torggata,153
Olaf Ryes plass,Sofienbergparken nord,153
Soendre gate,Sjoesiden ved trappen,153
Bislett Stadion,Henrik Ibsens gate,153
Munkegata,Linaaes gate,153
Helga Helgesens plass,Nordre gate,153
Sofienbergparken nordvest,Sofienberggata,153
Vestkanttorvet,Tjuvholmen,153
Forskningsveien,Marcus Thranes gate,153
Dyvekes bru,Kvaernerbyen,153
Oscars gate,7. juni-plassen,153
Moelleparken,Toeyenbekken,153
Rostockgata,Raadhusgata,152
Ila,Torggata,152
Oslo Hospital,Sukkerbiten,152
Oslo Handelsgymnasium,Dokkveien,152
Munkedamsveien,St. Olavs gate,152
Munkegata,Birkelunden,152
Majorstuveien,Uranienborgveien,152
Majorstua skole,Hoffsveien,152
Hasle Torg,Ensjoe T-bane,152
Storo Storsenter,Lilleborgbanen,152
Vaar Frelsers gravlund,Linaaes gate,152
Ringnes Park,Bjerregaardsgate Øst,152
Vaar Frelsers gravlund,Paléhaven,152
Uranienborgveien,7. juni-plassen,152
Majorstua skole,Thune,152
Moelleparken,Sommerfrydhagen,152
Sentrum Scene,Jens Bjelkes Gate,151
Marcus Thranes gate,AHO,151
Sjoesiden ved fontenen,Vippetangen vest,151
The Hub,Alexander Kiellands Plass,151
Schous plass,Oslo Plaza,151
Ringnes Park,Grünerhagen Nord,151
Helga Helgesens plass,Arkaden Nord,151
Briskeby,Majorstuen,151
Munkegata,Paléhaven,151
Ullevaal sykehus,Chr. Michelsens Gate,151
Froeen T-bane,Majorstuen,151
Moelleparken,Olaf Ryes plass,151
Anker Hotel,Aker Brygge,151
Fram-gaarden,Saga Kino,150
Kirkeristen,Bjoervika,150
Trelastgata,Bjoervika,150
Helga Helgesens plass,Sofienbergparken soer,150
Bjoelsendumpa,Ringnes Park,150
Sentrum Scene,Soendre gate,150
Oslo Handelsgymnasium,Oslo Handelsgymnasium,150
Bogstadveien,Henrik Ibsens gate,150
Gimle Kino,Skillebekk,150
Olav Kyrres plass,Karenslyst allé,150
Majorstuen,Skoeyen,150
Bentsebrugata,Bentsebrugata,150
Kirkeristen,Schous plass,150
Sognsveien,Ullevaalsalléen,150
Hans Nielsen Hauges plass,Hans Nielsen Hauges plass,150
Annette Thommessens Plass,Vippetangen vest,149
Marcus Thranes gate,Fredensborg,149
Hasle Torg,Fyrstikktorget,149
Torshovparken vest,Torggata,149
Henrik Ibsens gate,Henrik Ibsens gate,149
Lakkegata,Bankplassen,149
Oscars gate,Bankplassen,149
Ringnes Park,Jens Bjelkes Gate,149
Linaaes gate,Jens Bjelkes Gate,149
Sofienbergparken nordvest,Schous plass,149
Karenslyst allé,Norsk Folkemuseum,149
Soendre gate,Tjuvholmen,149
Gunerius,Jens Bjelkes Gate,149
Munkegata,Annette Thommessens Plass,149
Sjoesiden ved trappen,AHO,149
Finnmarksgata,Toeyen skole,149
Soendre gate,Botanisk Hage soer,149
Jordalgata,Bjoervika,149
Sukkerbiten,Pilestredet Studenthus,148
Daelenenggata,Alexander Kiellands Plass,148
Schous plass,Raadhusgata,148
Sofienbergparken nord,Lille Schous plass,148
Bjoelsendumpa,Myraloekka Øst,148
Vestkanttorvet,Elisenberg,148
Sukkerbiten,Rostockgata,148
Storo Storsenter,Olaf Ryes plass,148
Aker Brygge,Holbergs plass,148
Ullevaal sykehus,Ullevaal sykehus,148
Parkveien,Aker Brygge,148
Skillebekk,Saga Kino,148
Alexander Kiellands Plass,Fagerheimgata,148
Fagerheimgata,Moelleparken,148
Bjerregaards gate,Aker Brygge,148
Soendre gate,Sukkerbiten,148
Skillebekk,Skoeyen,147
Kirkeristen,Sofienbergparken nord,147
Ringnes Park,Schous plass trikkestopp,147
Linaaes gate,Sofienbergparken nord,147
Jens Bjelkes Gate,Sjoesiden ved trappen,147
Torggata,Vulkan,147
Hallings gate,7. juni-plassen,147
Olaf Ryes plass,Ringnes Park,147
Ullevaalsveien,Akersgata,147
Vaar Frelsers gravlund,Sukkerbiten,147
The Hub,Aker Brygge,147
Soendre gate,Linaaes gate,147
Bjerregaards gate,Akersgata,147
Dokkveien,AHO,146
Aker Brygge,Frognerstranda,146
Jess Carlsens gate,Lille Grensen,146
St. Hanshaugen park vest,Alexander Kiellands Plass,146
Ringnes Park,Vulkan,146
Alexander Kiellands Plass,Studenterlunden,146
Ringnes Park,Sentrum Scene,146
Edvard Storms gate,Kirkeristen,146
Jens Bjelkes Gate,Sukkerbiten,146
Bjerregaards gate,St. Olavs gate,146
Botanisk Hage soer,Ringnes Park,146
Carl Berners plass soer,Finnmarksgata,146
Akerselvallmenningen,Botanisk Hage soer,146
Grünerhagen Nord,Sentrum Scene,146
Raadhusgata,Sjoesiden ved trappen,146
Tjuvholmen,Sukkerbiten,146
Aker Brygge,Uranienborgveien,146
Arkitekt Rivertz Plass,Uelands gate,146
Huk 2,Tjuvholmen,146
Henrik Ibsens gate,Tjuvholmen,145
Fagerheimgata,The Hub,145
Sukkerbiten,Edvard Storms gate,145
Moelleparken,Aker Brygge,145
Annette Thommessens Plass,Raadhusgata,145
Thomas Heftyes plass,Huitfeldts gate,145
Saga Kino,Gimle Kino,145
Monolittveien,Jarlsborgveien,145
Majorstuen,Elisenberg,145
Fram-gaarden,Spikersuppa Øst,145
Sofienbergparken nord,Sentrum Scene,144
Helga Helgesens plass,Groenlands torg,144
Over Raadhusgata,Over Raadhusgata,144
Kvaernerbyen,Toeyen skole,144
Frognerstranda,Munkedamsveien,144
Hammersborg Torg,Vulkan,144
Jess Carlsens gate,Alexander Kiellands Plass,144
Helga Helgesens plass,Fredensborg,144
Rostockgata,Olaf Ryes plass,144
Sjoesiden ved fontenen,Sukkerbiten,144
Rostockgata,Munkegata,144
Storo Storsenter,Bjoelsen moelle,144
Sofienbergparken nord,Sofienbergparken nordvest,144
Schous plass,Spikersuppa Vest,144
Munkegata,Oslo Plaza,143
Bislett Stadion,Hallings gate,143
Vulkan,Sjoesiden ved trappen,143
Munkegata,Lakkegata,143
Salt,Salt,143
Botanisk hage soer-vest,Botanisk Hage soer,143
Sukkerbiten,Akersgata,143
Jordalgata,Toeyen skole,143
Sofienbergparken nordvest,The Hub,143
Jakob kirke,The Hub,143
Fram-gaarden,Dokkveien,143
Bjoelsendumpa,Arendalsgata,143
AHO,Akersgata,143
Bislett Stadion,Skovveien,142
Sinsen T-bane,Storo Storsenter,142
Hydroparken,Tjuvholmen,142
Fagerheimgata,Aker Brygge,142
Majorstua skole,Bogstadveien,142
Rostockgata,Spikersuppa Vest,142
Olaf Ryes plass,Stjerneplassen,142
Bjoervika,Dyvekes bru,142
Tjuvholmen,Thomas Heftyes plass,142
Rostockgata,Helga Helgesens plass,142
Parkveien,Parkveien,142
Schous plass,Jakob kirke,142
Kontraskjaeret,Kontraskjaeret,142
AHO,Dokkveien,142
Alexander Kiellands Plass,Munkegata,142
Kvaernerbyen,Bankplassen,142
Hallings gate,Bislett Stadion,142
Bjoelsendumpa,Alexander Kiellands Plass,142
Birkelunden,Bjoervika,142
Gimle Kino,Dokkveien,142
Majorstuen,Bislettgata,142
Sofienbergparken nordvest,Linaaes gate,141
Helga Helgesens plass,Linaaes gate,141
Bygdoey allé,Hoffsveien,141
AHO,Vulkan,141
Stjerneplassen,Olaf Ryes plass,141
Marienlystparken,Majorstuen,141
Edvard Storms gate,Bankplassen,141
Koebenhavngata busstopp,Ringnes Park,141
Birkelunden,Akerselvallmenningen,141
Krohgstoetten hospital,Helga Helgesens plass,141
Alexander Kiellands Plass,Toeyen skole,141
Stjerneplassen,Helga Helgesens plass,141
Bislett Stadion,7. juni-plassen,141
Birkelunden,Bentsebrugata,141
Sinsenveien,Carl Berners plass nord,141
Oslo Handelsgymnasium,Bankplassen,141
Vulkan,Akersgata,141
Alexander Kiellands Plass,Lille Grensen,141
Thomas Heftyes plass,Skillebekk,141
Grünerhagen Nord,Grünerhagen Nord,141
Frognerveien,Frognerveien,141
Parkveien,Huitfeldts gate,141
Bislettgata,Bjerregaards gate,141
Oslo Plaza,Alexander Kiellands Plass,140
Paléhaven,Vippetangen vest,140
Jess Carlsens gate,Bankplassen,140
Fredensborg,Schous plass trikkestopp,140
Professor Aschehougs plass,Sukkerbiten,140
Gunerius,Gunerius,140
Alexander Kiellands Plass,Schous plass trikkestopp,140
Jernbanetorget,Schous plass,140
Storo Storsenter,Fagerheimgata,140
Dyvekes bru,Rostockgata,140
Alexander Kiellands Plass,Bjerregaards gate,140
Uranienborgveien,Saga Kino,140
Hausmanns gate,Aker Brygge,140
Dokkveien,Ringnes Park,140
Bislettgata,Majorstuen,140
Olaf Ryes plass,Soendre gate,140
Linaaes gate,Nordre gate,140
Bislettgata,Tjuvholmen,140
Soendre gate,Raadhusgata,140
Stjerneplassen,Vippetangen vest,139
AHO,Fredensborg,139
Karenslyst allé,Thomas Heftyes plass,139
Lille Grensen,Sukkerbiten,139
Vulkan,The Hub,139
Alexander Kiellands Plass,Spikersuppa Vest,139
Majorstuen,Bislett Stadion,139
Studentparlamentet,St. Olavs gate,139
Munkegata,Salt,139
Briskeby,Briskeby,139
Dokkveien,Sofienbergparken nordvest,139
Majorstua skole,Thomas Heftyes plass,139
Toeyen skole,Ringnes Park,139
Olaf Ryes plass,Spikersuppa Øst,139
Oscars gate,Skillebekk,139
Henrik Wergelands allé,Bogstadveien,139
Frogner Stadion,Briskeby,139
Munkegata,Jernbanetorget,139
Ringnes Park,Fagerheimgata,139
Sotahjoernet,Rostockgata,139
Skillebekk,Aker Brygge,139
Fyrstikktorget,Hasle Torg,139
Fred Olsens gate,Oslo Hospital,139
Huk 2,Frognerstranda,139
Storo Storsenter,Sinsen T-bane,138
Majorstuen,Alexander Kiellands Plass,138
Bentsebrugata,Alexander Kiellands Plass,138
Frogner plass,Thune,138
AHO,Vaterlandsparken,138
Bislett Stadion,AHO,138
Henrik Ibsens gate,Uranienborgveien,138
Kvaernerbyen,Sommerfrydhagen,138
Jens Bjelkes Gate,Gunerius,138
Lakkegata,The Hub,138
Sjoesiden ved trappen,Sofienbergparken nord,138
Sjoesiden ved fontenen,Aker Brygge,138
St. Hanshaugen park vest,Aker Brygge,138
Bjerregaards gate,Bjerregaards gate,138
Sofienberggata,Vaterlandsparken,138
The Hub,Torggata,138
Slottsparken Øst,Tjuvholmen,138
Brugata,Helga Helgesens plass,138
Ringnes Park,Soendre gate,138
Toeyen skole,Finnmarksgata,138
Skoeyen,Karenslyst allé,137
Fram-gaarden,Fram-gaarden,137
Edvard Storms gate,Sukkerbiten,137
Landstads gate,Kirkeristen,137
Frognerbadet,Frogner plass,137
Thomas Heftyes plass,Filipstadveien,137
Skovveien,Bislett Stadion,137
Ringnes Park,Jakob kirke,137
Elisenberg,Elisenberg,137
Sukkerbiten,Birkelunden,137
Kjeld Stubs gate,Helga Helgesens plass,137
Sukkerbiten,Vulkan,137
Lilleborgbanen,Toeyen skole,137
Huitfeldts gate,Bankplassen,137
Birkelunden,Olaf Ryes plass,137
Storo Storsenter,Loerenveien,137
Schous plass,Bjoervika,137
Hallings gate,Vaar Frelsers gravlund,137
Studentparlamentet,7. juni-plassen,137
Lodalen busstopp,Sjoesiden ved trappen,137
Bislett Stadion,Bislettgata,137
Frogner plass,Raadhusgata,137
Stavangergata,Myraloekka Øst,137
Oslo Hospital,Vaterlandsparken,136
Langkaia,Munkegata,136
AHO,Schous plass trikkestopp,136
Aker Brygge,Over Raadhusgata,136
Vaar Frelsers gravlund,Saga Kino,136
Majorstuen,Briskeby,136
Gimle Kino,Bygdoey allé,136
Frognerbadet,Skoeyen,136
Majorstuen,Suhms gate,136
Sinsen T-bane,Lilleborgbanen,136
Torggata,Jernbanetorget,136
7. juni-plassen,Edvard Storms gate,136
Vulkan,Kirkeristen,136
BI Nydalen,Storo Storsenter,136
Storo Storsenter,Nydalen,136
Fysikkbygningen,Vaar Frelsers gravlund,136
Paléhaven,Dyvekes bru,136
Sofienbergparken nordvest,Trondheimsveien,136
Botanisk Hage soer,Aker Brygge,135
Anker Hotel,Kirkeristen,135
Karenslyst allé,Sukkerbiten,135
Ringnes Park,Fredensborg,135
Sjoesiden ved trappen,Torggata,135
Frogner plass,7. juni-plassen,135
Munkegata,Sentrum Scene,135
Bjoelsen Studentby,Bjoelsen Studentby,135
Lille Schous plass,Torggata,135
Colosseum Kino,Karenslyst allé,135
Dokkveien,Kirkeristen,135
Sjoesiden ved trappen,Galgeberg,135
Jordalgata,Oslo Hospital,135
Bjerregaards gate,Bislett Stadion,135
Schous plass,Linaaes gate,135
Studenterlunden,Vaar Frelsers gravlund,135
Fagerheimgata,Bjerregaards gate,135
Linaaes gate,Botanisk Hage soer,135
Bjoervika,Jens Bjelkes Gate,135
Fram-gaarden,Thomas Heftyes plass,135
Thomas Heftyes plass,Henrik Ibsens gate,135
Toeyen skole,Nordre gate,135
Storo Storsenter,Birkelunden,135
Ila,Aker Brygge,135
Olaf Ryes plass,Spikersuppa Vest,135
Langkaia,Sukkerbiten,134
Toeyen skole,Kirkeristen,134
Dokkveien,Kirkegata 15,134
Schous plass,Sukkerbiten,134
Kjeld Stubs gate,Kjeld Stubs gate,134
Majorstuen,Karenslyst allé,134
7. juni-plassen,Frognerstranda,134
Ringnes Park,Sofienbergparken nordvest,134
Elgsletta,Elgsletta,134
St. Olavs gate,Ringnes Park,134
Sotahjoernet,Helga Helgesens plass,134
Mandalls gate,Tjuvholmen,134
Akersgata,Akersgata,134
Langkaia,Vippetangen vest,134
Munkegata,Toeyenbekken,134
Frognerveien,7. juni-plassen,134
Professor Aschehougs plass,Slottsparken Øst,134
Skovveien,Aker Brygge,134
Filipstadveien,Norsk Folkemuseum,134
Aker Brygge,Raadhusgata,133
Groenlands torg,Torggata,133
Alexander Kiellands Plass,Stjerneplassen,133
Lilleborgbanen,Lilleborgbanen,133
Birkelunden,Jens Bjelkes Gate,133
Sommerfrydhagen,The Hub,133
Kirkegata 15,Sjoesiden ved trappen,133
The Hub,Soendre gate,133
Olaf Ryes plass,Vaterlandsparken,133
7. juni-plassen,Henrik Ibsens gate,133
Fred Olsens gate,Vippetangen oest,133
Tjuvholmen,Bjoervika,133
Frogner Stadion,Tjuvholmen,133
Olaf Ryes plass,Arkaden Nord,133
Botanisk Hage soer,Skraaninga,133
Sukkerbiten,Lakkegata,132
Jens Bjelkes Gate,Oslo Plaza,132
Kirkeristen,Alexander Kiellands Plass,132
Sofienbergparken nord,Fredensborg,132
Colletts gate,Bislett Stadion,132
Frogner Stadion,Elisenberg,132
BI Nydalen,Birkelunden,132
Botanisk Hage soer,Jess Carlsens gate,132
Vulkan,Saga Kino,132
7. juni-plassen,Uranienborgveien,132
Parkveien,7. juni-plassen,132
Brugata,Brugata,132
Oslo Handelsgymnasium,7. juni-plassen,132
Munkegata,Vaterlandsparken,132
Ullevaal sykehus,Sagene bussholdeplass,132
Torggata,Filipstadveien,132
Chr. Michelsens Gate,Marcus Thranes gate,132
Helga Helgesens plass,Trelastgata,131
Saga Kino,Alexander Kiellands Plass,131
Nydalen,BI Nydalen,131
Lodalen busstopp,Bjoervika,131
Jens Bjelkes Gate,Jakob kirke,131
Lille Grensen,Vulkan,131
Aker Brygge,Jess Carlsens gate,131
Klingenberggata,Aker Brygge,131
Schous plass trikkestopp,Toeyenbekken,131
Sommerfrydhagen,Toeyenbekken,131
Elisenberg,Frogner plass,131
Bislett Stadion,Jess Carlsens gate,131
Carl Berners plass soer,Ringnes Park,131
Aker Brygge,Fred Olsens gate,131
Blindern Studenthus,Majorstuen,131
Kontraskjaeret,Dokkveien,131
Sjoesiden ved trappen,Jens Bjelkes Gate,131
Aker Brygge,Sofienbergparken nord,131
Jakob kirke,Torggata,131
Ullevaal sykehus,Bislettgata,131
Karenslyst allé,Gimle Kino,131
Jens Bjelkes Gate,Munkegata,131
Olaf Ryes plass,Munkegata,131
Henrik Ibsens gate,Bislett Stadion,131
Vaar Frelsers gravlund,Helga Helgesens plass,131
Thune,Skoeyen,131
Alexander Kiellands Plass,Soendre gate,131
Nordre gate,Alexander Kiellands Plass,131
Alexander Kiellands Plass,Nordre gate,131
Ringnes Park,Vaterlandsparken,131
Over Raadhusgata,Oscars gate,130
Stjerneplassen,Stjerneplassen,130
Bentsebrugata,Ullevaal sykehus,130
